Id,place_city,place_country,place_state
768,Mumbai,India,Maharashtra
769,Dharamshala,India,Himachal Pradesh
770,Chepauk,India,Tamil Nadu
771,Mumbai,India,Maharashtra
772,Mumbai,India,Maharashtra
773,Dharamshala,India,Himachal Pradesh
774,Delhi,India,Delhi
775,Banglore,India,Karnataka
776,Kolkata,India,West Bengal
777,Mumbai,India,Maharashtra
778,Mumbai,India,Maharashtra
779,Chepauk,India,Tamil Nadu
780,Chepauk,India,Tamil Nadu
781,Mumbai,India,Maharashtra
782,Mumbai,India,Maharashtra
783,Mohali,India,Punjab
784,Kolkata,India,West Bengal
785,Chepauk,India,Tamil Nadu
786,Motera,India,Gujarat
787,Banglore,India,Karnataka
788,Kolkata,India,West Bengal
789,Delhi,India,Delhi
790,Banglore,India,Karnataka
791,Delhi,India,Delhi
792,Cuttack,India,Odisha
793,Motera,India,Gujarat
794,Mumbai,India,Maharashtra
795,Cuttack,India,Odisha
796,Chepauk,India,Tamil Nadu
797,Mumbai,India,Maharashtra
798,Banglore,India,Karnataka
799,Mohali,India,Punjab
800,Banglore,India,Karnataka
801,Mumbai,India,Maharashtra
